time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577836979.79960704,0.01236230,0.00972931,-nan,4985.00000000,0.01236230,0.000000,0.000000
1577836979.89944291,0.01234432,0.01049942,-nan,9316.00000000,0.01232635,0.000000,0.000000
1577836979.99928021,0.01087478,0.00608761,-nan,6188.00000000,0.00793570,0.000000,0.000000
1577836980.09991503,0.00964648,0.00432041,-nan,6911.00000000,0.00596156,0.000000,0.000000
1577836980.19976902,0.00891717,0.00420533,-nan,7436.00000000,0.00599994,0.000000,0.000000
1577836980.29959798,0.01471048,0.00433261,0.00000206,7865.00000000,0.04367705,0.000000,0.000000
1577836980.39945602,0.01883325,0.00387330,0.00000190,8133.00000000,0.04356988,0.000000,0.000000
1577836980.49929190,0.02181511,0.00400403,0.00000199,8309.00000000,0.04268808,0.000000,0.000000
1577836980.59993601,0.02460096,0.00468185,0.00000211,8502.00000000,0.04688778,0.000000,0.000000
1577836980.69978285,0.02620596,0.00405051,0.00000185,8035.00000000,0.04065091,0.000000,0.000000
1577836980.79962015,0.02765018,0.00334054,0.00000200,8447.00000000,0.04209238,0.000000,0.000000
1577836980.89947104,0.02869352,0.00349071,0.00000188,8712.00000000,0.04017034,0.000000,0.000000
1577836980.99931002,0.02963667,0.00345572,0.00000195,8930.00000000,0.04095443,0.000000,0.000000
1577836981.09994102,0.03042907,0.00334479,0.00000193,9177.00000000,0.04073027,0.000000,0.000000
1577836981.19979382,0.03118049,0.00325683,0.00000195,9371.00000000,0.04170033,0.000000,0.000000
1577836981.29963589,0.03178522,0.00383494,0.00000190,9475.00000000,0.04085628,0.000000,0.000000
1577836981.39946699,0.03241287,0.00325780,0.00000206,9554.00000000,0.04245518,0.000000,0.000000
1577836981.49928093,0.03304787,0.00319499,0.00000198,9614.00000000,0.04384298,0.000000,0.000000
1577836981.59990597,0.03387161,0.00377110,0.00000222,9729.00000000,0.04869886,0.000000,0.000000
1577836981.69974613,0.03440655,0.00320023,0.00000205,9833.00000000,0.04457034,0.000000,0.000000
1577836981.79958701,0.03476459,0.00337886,0.00000195,9902.00000000,0.04192554,0.000000,0.000000
1577836981.89942408,0.03508232,0.00330855,0.00000196,9920.00000000,0.04175452,0.000000,0.000000
1577836981.99967408,0.03569527,0.00341813,0.00000230,10015.00000000,0.04918030,0.000000,0.000000
1577836982.09952784,0.03592781,0.00306123,0.00000198,9975.00000000,0.04127624,0.000000,0.000000
1577836982.19936800,0.03612126,0.00317439,0.00000197,10068.00000000,0.04076407,0.000000,0.000000
1577836982.29959989,0.03634575,0.00297261,0.00000190,10005.00000000,0.04195793,0.000000,0.000000
1577836982.39944696,0.03652450,0.00306176,0.00000194,10069.00000000,0.04117189,0.000000,0.000000
1577836982.49928904,0.03666510,0.00293936,0.00000193,10182.00000000,0.04046150,0.000000,0.000000
1577836982.59992814,0.03678259,0.00301673,0.00000192,10242.00000000,0.04007205,0.000000,0.000000
1577836982.69975495,0.03697112,0.00315691,0.00000193,10288.00000000,0.04243877,0.000000,0.000000
1577836982.79959297,0.03722318,0.00325164,0.00000204,10325.00000000,0.04478469,0.000000,0.000000
1577836982.89940095,0.03739653,0.00316586,0.00000194,10270.00000000,0.04277067,0.000000,0.000000
1577836982.99963403,0.03754602,0.00347412,0.00000199,10370.00000000,0.04232940,0.000000,0.000000
1577836983.09945488,0.03764139,0.00309137,0.00000193,10442.00000000,0.04078892,0.000000,0.000000
1577836983.19928408,0.03774952,0.00312490,0.00000194,10439.00000000,0.04142571,0.000000,0.000000
1577836983.29990602,0.03782904,0.00308886,0.00000191,10509.00000000,0.04061222,0.000000,0.000000
1577836983.39974904,0.03789163,0.00296052,0.00000192,10609.00000000,0.04014490,0.000000,0.000000
1577836983.49958205,0.03797452,0.00330014,0.00000196,10684.00000000,0.04104152,0.000000,0.000000
1577836983.59942985,0.03808236,0.00318054,0.00000200,10584.00000000,0.04218025,0.000000,0.000000
1577836983.69966316,0.03815361,0.00298031,0.00000195,10699.00000000,0.04093220,0.000000,0.000000
1577836983.79950500,0.03825317,0.00295336,0.00000188,10664.00000000,0.04223578,0.000000,0.000000
1577836983.89935207,0.03829370,0.00297369,0.00000194,10708.00000000,0.03995527,0.000000,0.000000
1577836983.99960017,0.03835158,0.00303123,0.00000196,10716.00000000,0.04078254,0.000000,0.000000
1577836984.09943295,0.03840741,0.00299595,0.00000198,10750.00000000,0.04080828,0.000000,0.000000
1577836984.19967484,0.03850909,0.00336944,0.00000203,10743.00000000,0.04298318,0.000000,0.000000
1577836984.29951000,0.03861347,0.00297519,0.00000194,10795.00000000,0.04331021,0.000000,0.000000
1577836984.39936686,0.03871999,0.00300799,0.00000193,10798.00000000,0.04361986,0.000000,0.000000
1577836984.49998498,0.03880603,0.00296658,0.00000189,10852.00000000,0.04285016,0.000000,0.000000
1577836984.59981799,0.03891144,0.00305966,0.00000197,10921.00000000,0.04397086,0.000000,0.000000
1577836984.69969106,0.03898239,0.00282972,0.00000193,10911.00000000,0.04245913,0.000000,0.000000
1577836984.79953694,0.03900276,0.00290608,0.00000190,10951.00000000,0.04002128,0.000000,0.000000
1577836984.89937615,0.03902353,0.00279969,0.00000196,10943.00000000,0.04008282,0.000000,0.000000
1577836984.99962711,0.03907114,0.00297764,0.00000198,11018.00000000,0.04154679,0.000000,0.000000
1577836985.09946299,0.03912550,0.00306299,0.00000189,11085.00000000,0.04200669,0.000000,0.000000
1577836985.19928908,0.03917185,0.00299287,0.00000200,11111.00000000,0.04167468,0.000000,0.000000
1577836985.29991817,0.03922070,0.00287848,0.00000192,11139.00000000,0.04190752,0.000000,0.000000
1577836985.39975715,0.03928357,0.00298507,0.00000190,11221.00000000,0.04280425,0.000000,0.000000
1577836985.49959922,0.03929884,0.00288598,0.00000193,11251.00000000,0.04016893,0.000000,0.000000
1577836985.59943819,0.03935143,0.00338933,0.00000198,11270.00000000,0.04240210,0.000000,0.000000
1577836985.69966006,0.03935679,0.00290916,0.00000188,11251.00000000,0.03967258,0.000000,0.000000
1577836985.79949379,0.03949578,0.00311785,0.00000216,11324.00000000,0.04783556,0.000000,0.000000
1577836985.89932799,0.03955724,0.00298203,0.00000197,11397.00000000,0.04330627,0.000000,0.000000
1577836985.99996209,0.03957430,0.00331910,0.00000192,11445.00000000,0.04063168,0.000000,0.000000
1577836986.09979796,0.03961140,0.00297296,0.00000190,11209.00000000,0.04194869,0.000000,0.000000
1577836986.19963598,0.03960625,0.00279072,0.00000189,11227.00000000,0.03927670,0.000000,0.000000
1577836986.29947400,0.03963826,0.00284675,0.00000191,11300.00000000,0.04171928,0.000000,0.000000
1577836986.39931488,0.03963950,0.00297541,0.00000191,11324.00000000,0.03972150,0.000000,0.000000
1577836986.49994898,0.03968271,0.00302235,0.00000194,11311.00000000,0.04257781,0.000000,0.000000
1577836986.59979010,0.03973920,0.00325554,0.00000193,11278.00000000,0.04358029,0.000000,0.000000
1577836986.69962287,0.03974542,0.00307150,0.00000191,11275.00000000,0.04017428,0.000000,0.000000
1577836986.79945803,0.03976691,0.00299843,0.00000196,11301.00000000,0.04127116,0.000000,0.000000
1577836986.89929509,0.03978649,0.00294818,0.00000195,11308.00000000,0.04117698,0.000000,0.000000
1577836986.99993014,0.03981066,0.00344594,0.00000193,11366.00000000,0.04155064,0.000000,0.000000
1577836987.09977007,0.03984708,0.00289567,0.00000195,10799.00000000,0.04250588,0.000000,0.000000
1577836987.19959807,0.03986246,0.00286403,0.00000195,10884.00000000,0.04100103,0.000000,0.000000
1577836987.29944396,0.03988193,0.00276092,0.00000212,10961.00000000,0.04134211,0.000000,0.000000
1577836987.39966798,0.03989716,0.00301244,0.00000204,11023.00000000,0.04105455,0.000000,0.000000
1577836987.49951315,0.03996053,0.00372497,0.00000202,11138.00000000,0.04483951,0.000000,0.000000
1577836987.59933996,0.04001558,0.00357232,0.00000196,11335.00000000,0.04430963,0.000000,0.000000
1577836987.69997382,0.04013683,0.00415787,0.00000195,11534.00000000,0.04971610,0.000000,0.000000
1577836987.79981685,0.04028477,0.00463466,0.00000191,11693.00000000,0.05211960,0.000000,0.000000
1577836987.89966393,0.04048561,0.00573088,0.00000195,11994.00000000,0.05675337,0.000000,0.000000
1577836987.99951100,0.04080999,0.00679514,0.00000200,12324.00000000,0.06740971,0.000000,0.000000
1577836988.09934378,0.04112859,0.00666661,0.00000208,12970.00000000,0.06757211,0.000000,0.000000
1577836988.19998097,0.04145965,0.00733332,0.00000204,13965.00000000,0.06926877,0.000000,0.000000
1577836988.29982591,0.04182675,0.00733936,0.00000207,14556.00000000,0.07303001,0.000000,0.000000
1577836988.39966893,0.04219762,0.00741665,0.00000199,15368.00000000,0.07409268,0.000000,0.000000
1577836988.49950004,0.04255495,0.00706008,0.00000203,15956.00000000,0.07364243,0.000000,0.000000
1577836988.59934497,0.04296856,0.00744203,0.00000203,16432.00000000,0.07936673,0.000000,0.000000
1577836988.69999480,0.04334042,0.00741154,0.00000208,17141.00000000,0.07643575,0.000000,0.000000
1577836988.79982805,0.04367238,0.00652042,0.00000207,17419.00000000,0.07354860,0.000000,0.000000
1577836988.89966011,0.04395991,0.00685285,0.00000205,18039.00000000,0.07012525,0.000000,0.000000
1577836988.99951887,0.04425287,0.00649081,0.00000215,18375.00000000,0.07120476,0.000000,0.000000
1577836989.09935212,0.04450883,0.00601403,0.00000206,18531.00000000,0.06831367,0.000000,0.000000
1577836989.19999599,0.04478899,0.00566720,0.00000208,18926.00000000,0.07112340,0.000000,0.000000
1577836989.29984903,0.04500835,0.00571386,0.00000205,19226.00000000,0.06584775,0.000000,0.000000
1577836989.39969301,0.04526576,0.00573842,0.00000218,19351.00000000,0.06997765,0.000000,0.000000
1577836989.49952793,0.04555381,0.00621648,0.00000222,19591.00000000,0.07349480,0.000000,0.000000
1577836989.59938622,0.04589902,0.00793259,0.00000207,20005.00000000,0.07972952,0.000000,0.000000
1577836989.69963288,0.04630395,0.01423356,0.00000204,20707.00000000,0.08639198,0.000000,0.000000
1577836989.79946184,0.04676440,0.01285925,0.00000220,21444.00000000,0.09280871,0.000000,0.000000
1577836989.89929605,0.04733478,0.01522543,0.00000231,24090.00000000,0.10494354,0.000000,0.000000
1577836989.99994493,0.04810125,0.01629302,0.00000243,28151.00000000,0.12628113,0.000000,0.000000
1577836990.09978604,0.04889505,0.01787881,0.00000271,33062.00000000,0.13065662,0.000000,0.000000
1577836990.19962811,0.04966952,0.01940959,0.00000254,36960.00000000,0.13021453,0.000000,0.000000
1577836990.29946899,0.05037191,0.01494252,0.00000245,39751.00000000,0.12412266,0.000000,0.000000
1577836990.39932394,0.05111638,0.01677954,0.00000249,40085.00000000,0.13003011,0.000000,0.000000
1577836990.49997115,0.05172968,0.01398285,0.00000235,42731.00000000,0.11735278,0.000000,0.000000
1577836990.59981203,0.05236959,0.01599065,0.00000240,46660.00000000,0.12148030,0.000000,0.000000
1577836990.69966006,0.05294613,0.01372859,0.00000229,46693.00000000,0.11578827,0.000000,0.000000
1577836990.79950309,0.05353100,0.01468719,0.00000232,48756.00000000,0.11786710,0.000000,0.000000
1577836990.89933801,0.05415877,0.01422130,0.00000230,48901.00000000,0.12384125,0.000000,0.000000
1577836990.99997807,0.05471626,0.01200253,0.00000239,50548.00000000,0.11715549,0.000000,0.000000
1577836991.09981489,0.05541062,0.01249429,0.00000272,51997.00000000,0.13387318,0.000000,0.000000
1577836991.19966483,0.05593120,0.01099006,0.00000241,53209.00000000,0.11527673,0.000000,0.000000
1577836991.29950213,0.05634871,0.00913955,0.00000234,53924.00000000,0.10436220,0.000000,0.000000
1577836991.39934301,0.05678254,0.01030055,0.00000237,54702.00000000,0.10710731,0.000000,0.000000
1577836991.49997997,0.05719031,0.01049768,0.00000234,55455.00000000,0.10489919,0.000000,0.000000
1577836991.59982300,0.05751766,0.00924933,0.00000230,56207.00000000,0.09614557,0.000000,0.000000
1577836991.69965601,0.05775342,0.00729742,0.00000218,52528.00000000,0.08580812,0.000000,0.000000
1577836991.79950500,0.05795419,0.00674491,0.00000223,53272.00000000,0.08204670,0.000000,0.000000
1577836991.89935112,0.05808958,0.00577346,0.00000225,53791.00000000,0.07447166,0.000000,0.000000
1577836991.99999213,0.05817096,0.00513071,0.00000231,54111.00000000,0.06809979,0.000000,0.000000
1577836992.09983897,0.05820573,0.00492315,0.00000224,54378.00000000,0.06248237,0.000000,0.000000
1577836992.19968009,0.05823263,0.00523766,0.00000217,54722.00000000,0.06156826,0.000000,0.000000
1577836992.29953098,0.05828213,0.00534513,0.00000223,54975.00000000,0.06446957,0.000000,0.000000
1577836992.39938784,0.05836733,0.00537327,0.00000231,55171.00000000,0.06910224,0.000000,0.000000
